Open,Volume,date_FE,AAPL,AMZN,GOOGL,JP-MRGN,M-SOFT,NTFLX,NVDA,TSLA,VISA,Date,Company,Predicted_Close
97.809998,9314000,68,0,0,0,1,0,0,0,0,0,11/10/17,JP-MRGN,97.69123136
97.339996,11043800,70,0,0,0,1,0,0,0,0,0,11/14/17,JP-MRGN,97.21859157
98.529999,9808000,72,0,0,0,1,0,0,0,0,0,11/16/17,JP-MRGN,98.4102411
98.830002,3680000,77,0,0,0,1,0,0,0,0,0,11/24/17,JP-MRGN,98.72642252
98.309998,13076200,78,0,0,0,1,0,0,0,0,0,11/27/17,JP-MRGN,98.18490129
98.209999,16773000,79,0,0,0,1,0,0,0,0,0,11/28/17,JP-MRGN,98.07647613
104.739998,23945900,81,0,0,0,1,0,0,0,0,0,11/30/17,JP-MRGN,104.578358
107.730003,23576600,83,0,0,0,1,0,0,0,0,0,12/4/17,JP-MRGN,107.5647512
105.580002,17193900,84,0,0,0,1,0,0,0,0,0,12/5/17,JP-MRGN,105.4343727
105.550003,15476200,85,0,0,0,1,0,0,0,0,0,12/6/17,JP-MRGN,105.408961
103.949997,13371800,86,0,0,0,1,0,0,0,0,0,12/7/17,JP-MRGN,103.8172334
107.199997,7403700,98,0,0,0,1,0,0,0,0,0,12/26/17,JP-MRGN,107.0804234
106.669998,9496500,99,0,0,0,1,0,0,0,0,0,12/27/17,JP-MRGN,106.5466437
107.860001,11901000,103,0,0,0,1,0,0,0,0,0,1/3/18,JP-MRGN,107.7301962
108.720001,13292300,107,0,0,0,1,0,0,0,0,0,1/9/18,JP-MRGN,108.5867825
111.650002,18884200,110,0,0,0,1,0,0,0,0,0,1/12/18,JP-MRGN,111.4991817
111.889999,14940300,112,0,0,0,1,0,0,0,0,0,1/17/18,JP-MRGN,111.7490612
112.760002,14572900,113,0,0,0,1,0,0,0,0,0,1/18/18,JP-MRGN,112.6187975
112.660004,12475700,115,0,0,0,1,0,0,0,0,0,1/22/18,JP-MRGN,112.5247978
116.019997,11679900,120,0,0,0,1,0,0,0,0,0,1/29/18,JP-MRGN,115.8826672
115.650002,13141400,122,0,0,0,1,0,0,0,0,0,1/31/18,JP-MRGN,115.51051
116.489998,16477300,124,0,0,0,1,0,0,0,0,0,2/2/18,JP-MRGN,116.3416747
113.110001,27425800,128,0,0,0,1,0,0,0,0,0,2/8/18,JP-MRGN,112.9425113
114.650002,13461500,135,0,0,0,1,0,0,0,0,0,2/20/18,JP-MRGN,114.5162633
115,14212500,136,0,0,0,1,0,0,0,0,0,2/21/18,JP-MRGN,114.864193
115.309998,12162500,138,0,0,0,1,0,0,0,0,0,2/23/18,JP-MRGN,115.1793559
118.910004,17563300,140,0,0,0,1,0,0,0,0,0,2/27/18,JP-MRGN,118.7606815
115.639999,10674400,145,0,0,0,1,0,0,0,0,0,3/6/18,JP-MRGN,115.5149605
115.110001,11173700,147,0,0,0,1,0,0,0,0,0,3/8/18,JP-MRGN,114.9854153
115.099998,13214900,154,0,0,0,1,0,0,0,0,0,3/19/18,JP-MRGN,114.9730496
113.199997,22550400,157,0,0,0,1,0,0,0,0,0,3/22/18,JP-MRGN,113.0548331
108.360001,14050700,164,0,0,0,1,0,0,0,0,0,4/3/18,JP-MRGN,108.2465168
110.550003,18906000,167,0,0,0,1,0,0,0,0,0,4/6/18,JP-MRGN,110.4220016
110.010002,15974300,168,0,0,0,1,0,0,0,0,0,4/9/18,JP-MRGN,109.8904275
111.660004,14503300,170,0,0,0,1,0,0,0,0,0,4/11/18,JP-MRGN,111.5418401
115.019997,39152800,172,0,0,0,1,0,0,0,0,0,4/13/18,JP-MRGN,114.8368737
111.370003,15501400,174,0,0,0,1,0,0,0,0,0,4/17/18,JP-MRGN,111.2513957
110.269997,13548200,180,0,0,0,1,0,0,0,0,0,4/25/18,JP-MRGN,110.1602617
109.970001,10299500,181,0,0,0,1,0,0,0,0,0,4/26/18,JP-MRGN,109.8690409
108.449997,10503400,184,0,0,0,1,0,0,0,0,0,5/1/18,JP-MRGN,108.3523096
109.529999,12543200,189,0,0,0,1,0,0,0,0,0,5/8/18,JP-MRGN,109.4273063
112.75,11806300,197,0,0,0,1,0,0,0,0,0,5/18/18,JP-MRGN,112.6463886
112.349998,11507600,199,0,0,0,1,0,0,0,0,0,5/22/18,JP-MRGN,112.2485475
112.139999,14084800,201,0,0,0,1,0,0,0,0,0,5/24/18,JP-MRGN,112.0333989
107.639999,17490800,204,0,0,0,1,0,0,0,0,0,5/30/18,JP-MRGN,107.534128
111.18,13444400,210,0,0,0,1,0,0,0,0,0,6/7/18,JP-MRGN,111.0799436
110.459999,14979700,214,0,0,0,1,0,0,0,0,0,6/13/18,JP-MRGN,110.3589499
110.279999,20487300,215,0,0,0,1,0,0,0,0,0,6/14/18,JP-MRGN,110.1662708
107.260002,9786800,217,0,0,0,1,0,0,0,0,0,6/18/18,JP-MRGN,107.1782646
107.099998,11048700,220,0,0,0,1,0,0,0,0,0,6/21/18,JP-MRGN,107.0165819
108.160004,19478900,221,0,0,0,1,0,0,0,0,0,6/22/18,JP-MRGN,108.054644
104.709999,17086800,223,0,0,0,1,0,0,0,0,0,6/26/18,JP-MRGN,104.6172265
104.129997,10723400,229,0,0,0,1,0,0,0,0,0,7/5/18,JP-MRGN,104.0558845
103.120003,12173700,230,0,0,0,1,0,0,0,0,0,7/6/18,JP-MRGN,103.0445102
106.309998,10186500,233,0,0,0,1,0,0,0,0,0,7/11/18,JP-MRGN,106.2348354
107.050003,24662600,236,0,0,0,1,0,0,0,0,0,7/16/18,JP-MRGN,106.9395242
110.419998,14244900,238,0,0,0,1,0,0,0,0,0,7/18/18,JP-MRGN,110.3296199
111.059998,18140000,241,0,0,0,1,0,0,0,0,0,7/23/18,JP-MRGN,110.9601499
116,11016100,250,0,0,0,1,0,0,0,0,0,8/3/18,JP-MRGN,115.9120806
117.739998,10562100,252,0,0,0,1,0,0,0,0,0,8/7/18,JP-MRGN,117.650864
117.510002,9694200,254,0,0,0,1,0,0,0,0,0,8/9/18,JP-MRGN,117.4241117
115.5,12630600,255,0,0,0,1,0,0,0,0,0,8/10/18,JP-MRGN,115.4108774
115.559998,10336300,256,0,0,0,1,0,0,0,0,0,8/13/18,JP-MRGN,115.4767039
114.269997,10597600,257,0,0,0,1,0,0,0,0,0,8/14/18,JP-MRGN,114.1886982
114.589996,8618700,261,0,0,0,1,0,0,0,0,0,8/20/18,JP-MRGN,114.5144069
115.220001,13768000,266,0,0,0,1,0,0,0,0,0,8/27/18,JP-MRGN,115.1326515
115.589996,8991800,269,0,0,0,1,0,0,0,0,0,8/30/18,JP-MRGN,115.5146877
115,11462400,272,0,0,0,1,0,0,0,0,0,9/5/18,JP-MRGN,114.9208344
114.5,9877600,273,0,0,0,1,0,0,0,0,0,9/6/18,JP-MRGN,114.4259235
114.5,10955600,274,0,0,0,1,0,0,0,0,0,9/7/18,JP-MRGN,114.4236755
114.849998,8276900,275,0,0,0,1,0,0,0,0,0,9/10/18,JP-MRGN,114.7799261
113.809998,10337900,279,0,0,0,1,0,0,0,0,0,9/14/18,JP-MRGN,113.7382191
119.129997,24788200,284,0,0,0,1,0,0,0,0,0,9/21/18,JP-MRGN,119.0156689
113.370003,10146300,290,0,0,0,1,0,0,0,0,0,10/1/18,JP-MRGN,113.303502
110.370003,32075700,299,0,0,0,1,0,0,0,0,0,10/12/18,JP-MRGN,110.2588654
107.160004,19302800,301,0,0,0,1,0,0,0,0,0,10/16/18,JP-MRGN,107.0862183
109.019997,17582500,303,0,0,0,1,0,0,0,0,0,10/18/18,JP-MRGN,108.9478585
104.760002,23168900,307,0,0,0,1,0,0,0,0,0,10/24/18,JP-MRGN,104.6832493
104,19174900,309,0,0,0,1,0,0,0,0,0,10/26/18,JP-MRGN,103.9350047
104.459999,18445200,310,0,0,0,1,0,0,0,0,0,10/29/18,JP-MRGN,104.3963349
108.610001,10276400,315,0,0,0,1,0,0,0,0,0,11/5/18,JP-MRGN,108.560716
110.370003,12679600,317,0,0,0,1,0,0,0,0,0,11/7/18,JP-MRGN,110.3125364
112.230003,10432200,319,0,0,0,1,0,0,0,0,0,11/9/18,JP-MRGN,112.1754625
111.419998,13279700,320,0,0,0,1,0,0,0,0,0,11/12/18,JP-MRGN,111.3603368
110.230003,18361400,322,0,0,0,1,0,0,0,0,0,11/14/18,JP-MRGN,110.1608342
108.239998,19100000,323,0,0,0,1,0,0,0,0,0,11/15/18,JP-MRGN,108.172894
109.449997,13798600,324,0,0,0,1,0,0,0,0,0,11/16/18,JP-MRGN,109.3940007
109.959999,13987000,325,0,0,0,1,0,0,0,0,0,11/19/18,JP-MRGN,109.9030188
109.779999,18936200,326,0,0,0,1,0,0,0,0,0,11/20/18,JP-MRGN,109.7116944
106.739998,6488400,328,0,0,0,1,0,0,0,0,0,11/23/18,JP-MRGN,106.7079585
108.760002,9238200,330,0,0,0,1,0,0,0,0,0,11/27/18,JP-MRGN,108.7184842
109.800003,13977300,331,0,0,0,1,0,0,0,0,0,11/28/18,JP-MRGN,109.7455314
105.010002,27213900,336,0,0,0,1,0,0,0,0,0,12/6/18,JP-MRGN,104.9336525
105.160004,19248600,337,0,0,0,1,0,0,0,0,0,12/7/18,JP-MRGN,105.1030837
102.870003,23636400,338,0,0,0,1,0,0,0,0,0,12/10/18,JP-MRGN,102.80682
98.410004,28767900,345,0,0,0,1,0,0,0,0,0,12/19/18,JP-MRGN,98.34476335
92.889999,17009300,348,0,0,0,1,0,0,0,0,0,12/24/18,JP-MRGN,92.86406719
95.949997,15670900,353,0,0,0,1,0,0,0,0,0,1/2/19,JP-MRGN,95.92378409
98.639999,16286400,354,0,0,0,1,0,0,0,0,0,1/3/19,JP-MRGN,98.60794363
99.110001,16935200,355,0,0,0,1,0,0,0,0,0,1/4/19,JP-MRGN,99.07591489
100.809998,14230300,358,0,0,0,1,0,0,0,0,0,1/9/19,JP-MRGN,100.7805959
103.769997,16428700,365,0,0,0,1,0,0,0,0,0,1/18/19,JP-MRGN,103.7326432
103.410004,17520600,373,0,0,0,1,0,0,0,0,0,1/31/19,JP-MRGN,103.3735717
104,13000800,374,0,0,0,1,0,0,0,0,0,2/1/19,JP-MRGN,103.9738662
